Abstract,Trừu tượng
Aesthetics,Mỹ thuật
Analogous colors,Màu sắc tương tự
Architecture,Kiến trúc
Art appreciation,Sự đánh giá nghệ thuật
Art critique,Bình phẩm nghệ thuật
Art education,Giáo dục nghệ thuật
Art history,Lịch sử nghệ thuật
Art movement,Phong trào nghệ thuật
Art therapy,Trị liệu nghệ thuật
Artistic,Nghệ thuật
Artistic expression,Biểu đạt nghệ thuật
Artistic process,Quá trình nghệ thuật
Artwork,Tác phẩm nghệ thuật
Asymmetry,Không đối xứng
Balance,Cân đối
Blending,Trộn màu
Bold colors,Màu sắc mạnh mẽ
Brush,Cọ
Brushwork,Vẽ bằng cọ
Canvas,Bức vẽ
Ceramics,Gốm sứ
Collage,Hình thức nghệ thuật thị giác
Color,Màu sắc
Complementary colors,Màu sắc bù trừ
Composition,Cách sắp đặt
Contemporary,Đương đại
Contemporary art,Nghệ thuật đương đại
Contrast,Tương phản
Cool colors,Màu sắc mát mẻ
Craftsmanship,Thủ công
Creativity,Sự sáng tạo
Critique,"Nhận xét, phê bình"
Cultural elite,Tầng lớp văn hóa
Depth,Độ sâu
Design,Thiết kế
Drawing,Bức vẽ
Drawing and painting,Vẽ và sơn
Earth tones,Tông màu đất
Emphasis,Nhấn mạnh
Etching and lithography,Ấn mạ và đồ họa đá
Exhibition,Triển lãm
Expression,Sự biểu đạt
Fabric,Chất liệu
Fluorescent colors,Màu sắc huỳnh quang
Focal point,Điểm lực
Folk art,Nghệ thuật dân gian
Form,Hình thức
Gallery,Phòng trưng bày
Gradation,Chuyển độ
Gradient colors,Màu sắc trộn
Graphic artists,Những nghệ sĩ đồ họa
Hand and spirit,Tay và tinh thần
Handmade creations,Những tác phẩm làm thủ công
Handwriting on the wall,Báo hiệu không tốt cho tương lai
Harmony,Hài hòa
Hatching,Gạch nối
Helpmate,Người trợ giúp
High-key colors,Màu sắc sáng
Idealism,Chủ nghĩa lý tưởng
Illustrator,Họa sĩ minh họa
Impressionism,Chủ nghĩa ấn tượng
Incompetent artist,Nghệ sĩ không tài năng
Inspiration,Cảm hứng
Installation,Cài đặt nghệ thuật
Iridescence,Độ bóng
Landscape,Phong cảnh
Layers,Lớp
Light,Ánh sáng
Likeness,Sự giống nhau
Limitations,Giới hạn
Line,Đường kẻ
Low-key colors,Màu sắc tối
Masterpiece,Tuyệt phẩm
Material,Vật liệu
Medium,Phương tiện
Metallic colors,Màu kim loại
Middle class,Tầng lớp trung lưu
Modernism,Chủ nghĩa hiện đại
Monochromatic colors,Màu đơn sắc
Movement,Chuyển động
Museum,Bảo tàng
Muted colors,Màu sắc nhạt nhòa
Natural colors,Màu sắc tự nhiên
Negative space,Không gian âm
Neon colors,Màu phản quang
Neutral colors,Màu sắc trung tính
Painter,Họa sĩ
Painting,Bức tranh
Palette,Bảng màu
Pastel colors,Màu nhạt
Pattern,Mẫu hoa văn
Performance,Biểu diễn
Perspective,Phối cảnh
Photography,Nhiếp ảnh
Portrait painters,Họa sĩ vẽ chân dung
Portraiture,Họa bức chân dung
Positive space,Không gian dương
Pottery,Gốm sứ
Primary colors,Màu sắc cơ bản
Printmaking,In ấn
Proportion,Tỷ lệ
Realism,Chủ nghĩa hiện thực
Repetition,Sự lặp lại
Rhythm,Nhịp điệu
Scale,Quy mô
Sculptor,Nhà điêu khắc
Sculpture,Điêu khắc
Secondary colors,Màu sắc thứ cấp
Shadow,Bóng
Shape,Hình dạng
Sketch,Bản phác thảo
Source material,Nguyên liệu gốc
Space,Không gian
Still life,Tranh tĩnh vật
Strokes,Chấm
Style,Phong cách
Subject matter,Chủ đề
Substance,"Cốt lõi, nội dung"
Subtle colors,Màu sắc tinh tế
Surface,Bề mặt
Surrealism,Chủ nghĩa siêu thực
Symbolism,Tượng trưng
Symmetry,Đối xứng
Synthetic pigments,Sắc tố tổng hợp
Techniques,Kỹ thuật
Tertiary colors,Màu sắc thứ ba
Texture,Kết cấu
Tools,Công cụ
Transparency,Độ trong suốt
Transparent colors,Màu sắc trong suốt
Unity,Đơn nhất
Uplifting style,Phong cách làm nổi bật
Value,Giá trị
Vibrant colors,Màu sắc sặc sỡ
Visual,Hình ảnh
Warm colors,Màu sắc ấm
