Amusement parks,Công viên giải trí
Aquariums,Viện hải dương học
Architectural heritage,Di sản kiến trúc
Art exhibitions,Triển lãm nghệ thuật
Bicycle lane,Làn đường dành cho xe đạp
Boat rides,Chuyến đi thuyền
Bridge,Cầu
Bus,Xe buýt
Car accident,Tai nạn xe cộ
Carpooling,Chia sẻ xe
Central business district (CBD),Khu kinh doanh trung tâm
Cinemas,Rạp chiếu phim
City center,Trung tâm thành phố
City council,Hội đồng thành phố
City dweller,Người sống ở thành phố
City life,Cuộc sống thành phố
City limits,Giới hạn thành phố
City planner,Kỹ sư quy hoạch đô thị
Cityscape,Phong cảnh thành phố
Civic,Thuộc về công dân
Commute,Đi làm hàng ngày
Concerts,Buổi hòa nhạc
Congestion,Sự tắc nghẽn giao thông
Cosmopolitan,"Đa quốc gia, quốc tế"
Crosswalk,Lối đi bộ qua đường
Cultural activities,Hoạt động văn hóa
Cultural diversity,Đa dạng văn hóa
Cycling,Đạp xe
Cyclist,Người đi xe đạp
Detour,Đường vòng
Dining,Ăn uống
Downtown,Trung tâm thành phố
Entertainment,Giải trí
Events,Sự kiện
Expressway, Đường cao tốc
Flea markets,Chợ trời
Flyover,Cầu vượt
Food markets,Chợ đồ ăn
Galleries,Triển lãm nghệ thuật
Gentrification,Sự nâng cấp khu vực
Green spaces,Khu vực xanh
Gridlock,Tình trạng kẹt xe
Guided tours,Chuyến tham quan có hướng dẫn viên
Highrise,Cao tầng
Highway,Đường cao tốc
Infrastructure,Cơ sở hạ tầng
Inner city,Khu trung tâm thành phố
Intersection,"Ngã tư, giao lộ"
Jogging,Chạy bộ nhẹ nhàng
Karaoke,Hát karaoke
Land use,Sử dụng đất đai
Landmark,Địa danh nổi tiếng
Lane,Làn đường
Mass transit,Giao thông công cộng
Megacity,Siêu đô thị
Megalopolis,Đại đô thị
Merge,"Hợp nhất, nhập vào"
Metropolis,Thành phố lớn
Metropolitan,Đô thị lớn
Modernization,Hiện đại hóa
Motorist,Người lái xe
Museums,Bảo tàng
Neighborhood,Khu phố
Nightlife,Cuộc sống về đêm
Noise pollution,Ô nhiễm tiếng ồn
Overpass,Cầu vượt
Overtaking,Vượt xe
Parking,Bãi đỗ xe
Pedestrian,Người đi bộ
Pedestrian bridge,Cầu cho người đi bộ
Pedestrian zone,Khu vực dành cho người đi bộ
Pollution,Ô nhiễm
Pub crawls,Chuyến tham quan
Public amenities,Tiện ích công cộng
Public transportation,Phương tiện giao thông công cộng
Redevelopment,Tái phát triển
Residential area,Khu dân cư
Road,Đường
Roundabout,Vòng xuyến
Rush hour,Giờ cao điểm
Shopping,Mua sắm
Shopping malls,Trung tâm mua sắm
Sidewalk,Vỉa hè
Sightseeing,Việc tham quan
Signage,Biển báo
Skid row,Khu vực nghèo khó
Skyline,Đường chân trời
Skyscraper,Tòa nhà chọc trời
Slum,Khu ổ chuột
Speed limit,Giới hạn tốc độ
Sports stadiums,Sân vận động thể thao
Street markets,Chợ đường phố
Street performances,Biểu diễn trên đường phố
Suburb,Ngoại ô
Subway,Xe điện ngầm
Taxi,Xe taxi
Theaters,Nhà hát
Traffic,Giao thông
Traffic circle,Vòng xuyến
Traffic congestion,Tắc đường
Traffic control,Kiểm soát giao thông
Traffic flow,Luồng giao thông
Traffic jam,Tắc nghẽn giao thông
Traffic laights,Đèn giao thông
Traffic police,Cảnh sát giao thông
Traffic rules,Luật giao thông
Traffic signal,Tín hiệu giao thông
Traffic violation,Vi phạm giao thông
Train,Tàu hỏa
Tram,Xe điện
Tunnel,Đường hầm
U-turn,Quay đầu xe
Underpass,Hầm chui
Urban planning,Quy hoạch đô thị
Urban renewal,Cải tạo đô thị
Urban sprawl,Sự mở rộng đô thị
Urbanization,Quá trình đô thị hóa
Walking tours,Chuyến tham quan đi bộ
Yield,Nhường đường
Zebra crossing,Vạch qua đường
Zoning,Quy hoạch đô thị
Zoos,Sở thú
