Appetite,Sự thèm ăn
Appetizers,Món khai vị
Appetizing,Kích thích vị giác
Aromas,Mùi thơm
Aromatic,Thơm phức
Bake,Nướng
Baking,Nướng bánh
Barbecue,Nướng BBQ
Beef,Thịt bò
Beer,Bia
Bitter,Đắng
Blanch,Làm sạch nhanh bằng nước sôi
Boil,Luộc
Braise,Kho tiêu
Broil,Nướng từ trên xuống
Brunch,Bữa sáng trưa
Burger,Bánh burger
Burrito,Bánh burrito
Champagne,Rượu sâm banh
Chicken,Thịt gà
Cider,Rượu táo
Clam,Nghêu
Cocktail,Cocktail
Coconut water,Nước dừa
Coffee,Cà phê
Cold brew,Cà phê lạnh
Comfort food,Món ăn dễ chịu
Cooking,Nấu ăn
Crab,Cua
Cranberry juice,Nước cranberry
Crave-worthy,Khó cưỡng
Creamy,Kem
Crispy,"Giòn, rụm"
Cuisine,"Ẩm thực, nghệ thuật nấu nướng"
Culinary,Liên quan đến ẩm thực
Culinary arts,Nghệ thuật ẩm thực
Culinary experience,Trải nghiệm ẩm thực
Culinary skills,Kỹ năng nấu ăn
Curry,Cà ri
Decadent,"Sang trọng, xa hoa"
Deep-fry,Chiên rán
Delectable,"Hấp dẫn, ngon lành"
Delicious,"Thơm ngon, ngon lành"
Delightful,"Hạnh phúc, vui vẻ"
Dessert,Món tráng miệng
Dumplings,Bánh bao
Energy drink,Nước tăng lực
Exquisite,"Tinh tế, tuyệt vời"
Filling,"No, no căng"
Fine dining,Ăn uống sang trọng
Fish and chips,Cá và khoai tây chiên
Flaky,"Bông, tan trong miệng"
Flavorful,Hương vị đậm đà
Flavorsome,Có hương vị
Fondue,Món lẩu
Fresh,Tươi
Fried chicken,Gà rán
Fruit punch,Nước trái cây có ga
Fruit smoothie,Sinh tố trái cây
Fruit-infused water,Nước trái cây ngâm
Fruits,Trái cây
Fry,Chiên
Gastrointestinal,Liên quan đến tiêu hóa
Gastronomy,"Ẩm thực, nghệ thuật ẩm thực"
Gin,Rượu gin
Gourmet,"Chuyên môn, cao cấp"
Gratifying,"Hài lòng, thỏa mãn"
Grill,Nướng
Healthy,Lành mạnh
Hearty,"No, thỏa mãn"
Heavenly,"Thiên đường, ngon tuyệt"
Herbal infusion,Trà thảo mộc
Herbal tea,Trà thảo mộc
Home-cooked,Tự nấu tại nhà
Homemade,"Tự làm, nhà làm"
Hot chocolate,Sô cô la nóng
Hot cider,Rượu táo nóng
Hot green tea,Trà xanh nóng
Hot herbal tea,Trà thảo mộc nóng
Hot tea,Trà nóng
Hot toddy,Rượu nóng
Hungry,"Đói, thèm ăn"
Ice cream,Kem
Iced coffee,Cà phê đá
Iced lemon tea,Trà chanh đá
Iced mocha,Cà phê mocha đá
Iced tea,Trà đá
Ingredients,Nguyên liệu
International,Quốc tế
Irresistible,Không thể cưỡng lại
Juice,Nước trái cây
Juicy,Mọng nước
Kebab,Món que
Lamb,Thịt cừu
Lasagna,Món lasagna
Lemonade,Nước chanh
Lobster,Tôm hùm
Luscious,"Ngon, thơm ngon"
Margarita,Margarita
Melt in your mouth,Tan trong miệng
Milk,Sữa
Milkshake,Sữa đặc
Mint tea,Trà bạc hà
Mojito,Mojito
Mouthwatering,"Nước miếng, thèm thuồng"
Nachos,Bánh snack
Noodles,Mì xào
Nourishing,Bổ dưỡng
Nutrition,Dinh dưỡng
Nutritious,Bổ dưỡng
Nutty,Có hương vị hạt
Omelette,Trứng cuộn
Orange juice,Nước cam
Organic,Hữu cơ
Paella,Món cơm thập cẩm
Palatable,"Dễ ăn, ngon miệng"
Palate,Vị giác
Pancake,"Bánh kếp, bánh xếp"
Pasta,"Mì, mỳ"
Pho,Món phở
Pizza,Bánh pizza
Poach,Khoáng
Pork,Thịt heo
Presentation,"Bày trí, trình bày"
Quiche,Bánh quiche
Ramen,Mì ramen
Recipe,Công thức nấu ăn
Red wine,Rượu vang đỏ
Refreshing,"Sảng khoái, dễ chịu"
Rice,Cơm
Rich,"Béo, giàu chất"
Risotto,Món risotto
Roast,"Món quay, thịt quay"
Rum,Rượu rum
Sake,Rượu sake
Salad,Sa lát
Salmon,Cá hồi
Salty,Mặn
Sandwich,Bánh mì sandwich
Satisfying,"Thỏa mãn, làm hài lòng"
Sausage,Xúc xích
Sauté,Xào
Savor,"Thưởng thức, từng miếng"
Savory,"Mặn, thơm ngon"
Scrumptious,"Ngon, tuyệt vời"
Seafood,Hải sản
Seasoned,Được gia vị
Seasonings,Gia vị
Shrimp,Tôm
Simmer,"Hầm, ninh"
Smoke,Hút khói
Smoothie,Sinh tố
Soda,Nước có gas
Soup,Súp
Sous vide,Nấu chân không nhiệt độ ổn định
Sparkling water,Nước khoáng có ga
Spicy,Cay
Sports drink,Nước thể thao
Steak,Bít tết
Steam,Hấp
Stir-fry,Xào nhanh
Succulent,"Mọng nước, ngọt ngào"
Sushi,Món sushi
Sweet,Ngọt
Tacos,Bánh taco
Tangy,Chua nhẹ
Tasty,"Ngon, ngon lành"
Tea,Trà
Tender,"Mềm, mọng"
Tequila,Tequila
Tofu,Đậu phụ
Tuna,Cá ngừ
Vegetables,Rau củ
Vodka,Vodka
Water,Nước
Whipped,"Đánh bông, đánh kem"
Whiskey,Rượu whisky
White wine,Rượu vang trắng
Wholesome,"Bổ dưỡng, lành mạnh"
Wine,Rượu vang
Yummy,"Ngon, thú vị"
Zesty,Hấp dẫn
Zingy,Sảng khoái
