Accelerate,"Tăng tốc, leo"
Accelerate globalization,Thúc đẩy toàn cầu hóa
Affluence,"Sự dồi dào, sung túc, giàu có"
Air pollution,Ô nhiễm không khí
Biodiversity loss,Mất môi trường đa dạng sinh học
Capital mobility,Tính linh hoạt của vốn
Capitalize,Tư bản hóa
Carbon emissions,Khí thải carbon
Carbon footprint,Dấu chân carbon
Climate change,Biến đổi khí hậu
Corporate globalization,Toàn cầu hóa hợp tác
Cross-cultural,Giao lưu văn hóa
Cultural diffusion,Lan truyền văn hóa
Cultural exchange,Trao đổi văn hóa
Deforestation,Tàn phá rừng
Developing countries,Các nước đang phát triển
Digital economy,Kinh tế số
Digital revolution,Cuộc cách mạng số
Ecological balance,Cân bằng sinh thái
Economic competitiveness,Cạnh tranh kinh tế
Economic growth,Tăng trưởng kinh tế
Economic inequality,Bất bình đẳng kinh tế
Economic integration,Tích hợp kinh tế
Economic interdependence,Sự tương phụ thuộc kinh tế
Economic liberalization,Tháo gỡ hạn chế kinh tế
Ecosystem preservation,Bảo tồn hệ sinh thái
Emigration,Di cư
Environmental conservation,Bảo tồn môi trường
Environmental impact,Tác động môi trường
Environmental sustainability,Bền vững môi trường
Foreign direct investment (FDI),Đầu tư trực tiếp nước ngoài (FDI)
Free trade,Thương mại tự do
Global awareness,Nhận thức toàn cầu
Global capitalism,Chủ nghĩa phạm vi toàn cầu
Global challenges,Thách thức toàn cầu
Global citizenship,Quốc tịch toàn cầu
Global climate,Xu thế toàn cầu hoá
Global collaboration,Hợp tác toàn cầu
Global communication,Giao tiếp toàn cầu
Global competitive index,Chỉ số cạnh tranh toàn cầu
Global crisis,Khủng hoảng toàn cầu
Global distribution system,Hệ thống phân phối toàn cầu
Global economy,Nền kinh tế toàn cầu
Global entrepreneurship,Doanh nghiệp toàn cầu
Global financial system,Hệ thống tài chính toàn cầu
Global governance,Quản trị toàn cầu
Global integration,Tích hợp toàn cầu
Global market,Thị trường toàn cầu
Global policy,Chính sách công
Global reach,Phạm vi toàn cầu
Global supply chain,Chuỗi cung ứng toàn cầu
Global trade,Thương mại toàn cầu
Global trade agreements,Hiệp định thương mại toàn cầu
Global village,Làng toàn cầu
Global workforce,Lực lượng lao động toàn cầu
Globalization,Toàn cầu hóa
Globalization process,Quá trình toàn cầu hoá
Green technology,Công nghệ xanh
Greenhouse gases,Khí nhà kính
Homogenization,Đồng nhất hóa
Imbalance,Sự thiếu cân đối
Immigration,Di cư
Income disparity,Chênh lệch thu nhập
Inflation,Sự lạm phát
Information flow,Luồng thông tin
Interconnectedness,Sự kết nối
Interdependence,Sự phụ thuộc lẫn nhau
International,Quốc tế
International cooperation,Hợp tác quốc tế
International trade,Thương mại quốc tế
Labor migration,Di cư lao động
Less developed countries,Các nước ít phát triển hơn
Local/national/domestic,Địa phương/quốc gia/nội địa
Localization,Địa phương hóa
Market liberalization,Tháo gỡ tự do hóa thị trường
Mobility,Tính linh hoạt
Multiculturalism,Đa văn hóa
Multinational corporation,Tập đoàn đa quốc gia
Natural resource depletion,Cạn kiệt tài nguyên thiên nhiên
Offshoring,Chuyển hoạt động sản xuất ra nước ngoài
Outsourcing,Giao việc cho đối tác ngoài
Ozone depletion,Sự suy giảm tầng ôzôn
Pollution control,Kiểm soát ô nhiễm
Protectionism,Chính sách bảo hộ
Renewable energy,Năng lượng tái tạo
Richer nations,Những quốc gia giàu có hơn
Social justice,Công bằng xã hội
Soil erosion,Xói mòn đất
Standardization,Tiêu chuẩn hóa
Superpower,Cường quốc
Sustainable agriculture,Nông nghiệp bền vững
Sustainable development,Phát triển bền vững
Tariffs,Thuế quan
Technological advancement,Tiến bộ công nghệ
The industrialized world,Thế giới công nghiệp hóa
The world,Thế giới
Transnational,Đa quốc gia
Ubiquitous,"Phổ biến, có mặt khắp nơi"
Universal,"Phổ cập, toàn cầu"
Waste management,Quản lý chất thải
Water scarcity,Khan hiếm nước
Wildlife conservation,Bảo tồn động vật hoang dã
