Airplane,Máy bay
Airship,Buồm bay
Ambulance,Xe cứu thương
Barge,Xà lan
Bicycle,Xe đạp
Boat,Thuyền
Bulldozer,Xe ủi
Bullet train,Tàu siêu tốc
Bus,Xe buýt
Cable car,Xe cáp treo
Camels,Lạc đà
Camper,Xe cắm trại
Car,Xe ô tô
Carriage,Xe ngựa
Catamaran,Tàu hai thân
Cement mixer,Máy trộn bê tông
Conveyor belt,Băng chuyền
Crane,Cần cẩu
Delivery van,Xe vận chuyển hàng hóa
Electric car,Xe điện
Electric scooter,Xe scooter điện
Escalator,Thang cuốn
Excavator,Máy đào
Ferry,Phà
Forklift,Xe nâng
Garbage truck,Xe rác
Gondola,Thuyền Gondola
Hang glider,Diều lượn
Hangar,Nhà chứa máy bay
Helicopter,Trực thăng
Horse-drawn carriage,Xe ngựa kéo
Hot air balloon,Khinh khí cầu
Hovercraft,Tàu đệm khí
Hybrid car,Xe lai
Ice cream truck,Xe kem
Icebreaker,Tàu phá băng
Jet,Máy bay phản lực
Jet pack,Túi phản lực
Jet ski,Máy cày nước
Locomotive,Đầu máy lửa
Lorry,Xe tải
Minivan,Xe minibus
Monorail,Đường ray đơn
Moped,Xe máy đạp
Motorboat,Thuyền motor
Motorcoach,Xe du lịch
Motorcycle,Xe máy
Paraglider,Dù lượn
Pogo stick,Gậy cà kheo
Raft,Bè
Recreational Vehicle,Xe dã ngoại
Rickshaw,Xích lô
Roller coaster,Đường ray tự do
Sailboat,Thuyền buồm
School bus,Xe buýt học sinh
Scooter,Xe tay ga
Seaplane,Thủy phi cơ
Segway,Xe điện tự cân bằng
Ship,Tàu
Shuttle,Xe đưa đón
Skateboard,Ván trượt
Ski lift,Cáp treo trượt tuyết
Skydiving,Nhảy dù
Snowmobile,Xe máy trượt tuyết
Spacecraft,Tàu vũ trụ
Stretcher,Cái cáng
Submarine,Tàu ngầm
Subway,Tàu điện ngầm
Taxi,Xe taxi
Tractor,Xe máy kéo
Train,Tàu hỏa
Tram,Xe điện
Tricycle,Xe ba bánh
Trolley,Xe điện
Trolleybus,Xe buýt điện
Truck,Xe tải
Van,Xe bán tải
Velocipede,Xe đạp ba bánh
Wheelchair,Xe lăn
Yacht,Du thuyền
Zeppelin,Tàu bay Zeppelin
Zipline,Dây dù
