Ammunition,Đạn dược
Anti-aircraft gun,Súng phòng không
Anti-personnel mine,Mìn chống người
Anti-ship missile,Tên lửa chống hạm
Anti-tank rifle,Súng trường chống tăng
Armored vehicle,Xe bọc thép
Artillery,Pháo binh
Assault rifle,Súng trường tấn công
Ballistic missile,Tên lửa đạn đạo
Baton,Gậy gộc
Bayonet,Đầu dao gắn súng
Bazooka,Súng phóng đạn lửa
Bipod,Chân đỡ súng
Blowgun,Súng ống thổi
Body armor,Áo giáp
Bomb,Bom
Booby trap,Bẫy
Boomerang,Vòng tròn ném
Bow and arrow,Cung và mũi tên
Brass knuckles,Găng tay đồng
Bullet,Viên đạn
Bulletproof helmet,Mũ bảo hộ chống đạn
Bulletproof vest,Áo chống đạn
C-4 explosive,Chất nổ C-4
Caltrops,Đinh ba càng
Cane sword,Gậy kiếm
Carbine,Súng ngắn
Cartridge,Đạn nạp
Cestus,Găng tay đánh
Claymore,Kiếm hai tay
Claymore detonator,Thiết bị kích nổ Claymore
Club,Gậy gỗ đánh
Cluster bomb,Bom đạn đạo
Crossbow,Cung tên
Dagger,Dao găm
Flamethrower,Súng phun lửa
Flamethrower tank,Xe phun lửa
Gas mask,Mặt nạ chống khí độc
Gatling cannon,Pháo Gatling
Gatling gun,Súng Gatling
Grenade,Lựu đạn
Grenade launcher,Súng phóng lựu đạn
Hand grenade,Lựu đạn tay
Handgun,Súng cầm tay
Harpoon,Mỏ câu
Harpoon missile,Tên lửa mỏ câu
Howitzer,Súng phóng hỏa tiễn
IED (Improvised Explosive Device),Vật nổ tự chế
Incendiary device,Thiết bị gây cháy
Knives,Dao
Land-to-air missile,Tên lửa đối không
Landmine,Mìn đất
Laser sight,Mục tiêu bằng laser
Mace,Búa gai
Machete,Rìu gỗ
Machine gun,Súng máy
Military drone,Máy bay không người lái quân sự
Missile,Tên lửa
Morning star,Sao băng
Mortar,Súng cối
Night vision goggles,Kính viễn vọng ban đêm
Nunchaku,Côn nhị khúc
Pepper spray,Xịt cay
Pistol,Súng lục
Revolver,Súng ngắn ổ xoay
Rifle,Súng trường
Riot control weapon,Vũ khí kiểm soát bạo loạn
Rocket launcher,Súng phóng tên lửa
RPG (Rocket-propelled grenade),Lựu đạn phóng tên lửa
RPG-7,Súng lựu đạn cầm tay RPG-7
Scope,Ống ngắm
Shell,Vỏ đạn
Shotgun,Súng hơi
Shoulder-fired missile,Tên lửa đạn đạo tầm trung
Shuriken,Phi tiêu
Silencer,Bộ giảm thanh
Slingshot,Bắn cung
Smoke grenade,Lựu khói
Sniper rifle,Súng bắn tỉa
Spear,Giáo
Stinger missile,Tên lửa Stinger
Stun gun,Súng điện gây tê
Submachine gun,Súng máy nhỏ
Sword,Kiếm
Sword cane,Kiếm gắn trong gậy
Tank,Xe tăng
Taser,Súng điện
Tear gas,Khí độc gây nước mắt
Tear gas launcher,Súng bắn khí độc gây nước mắt
Tomahawk,Rìu Mỹ bản địa
Torpedo,Ngư lôi
Trident,Cây đinh ba
Warhammer,Búa chiến tranh
