To cold call,Gọi điện không mời trước
Acquisition,"Sự mua, sự thu được"
Ad campaign,Chiến dịch quảng cáo
Ad copy,Bản quảng cáo
Ad placement,Vị trí đặt quảng cáo
Ad space,Không gian quảng cáo
Advertisement,Quảng cáo
Advertiser's target,Đối tượng của người quảng cáo
Advertising budget,Ngân sách quảng cáo
Advertising effectiveness,Hiệu quả quảng cáo
Advertising impact,Tác động của quảng cáo
Advertising medium,Phương tiện quảng cáo
Advertising platform,Nền tảng quảng cáo
Advertising revenue,Doanh thu quảng cáo
Advertising strategy,Chiến lược quảng cáo
Alternatives,Sự lựa chọn khác
Association,Liên kết
Awareness,Nhận thức
Billboard,Biển quảng cáo
Brand awareness,Nhận thức về thương hiệu
Brand loyalty,Sự trung thành với thương hiệu
Brand recognition,Nhận diện thương hiệu
Branding,Xây dựng thương hiệu
Buy and sell,Mua bán
Call to action,Lời kêu gọi hành động
Campaign,Chiến dịch
Celebrity endorsement,Quảng bá thương hiệu bằng người nổi tiếng
Channels,Kênh
Classified ads,Quảng cáo phân loại
Commercial,Thương mại
Commercial break,Quảng cáo
Commercial channel,Kênh truyền hình quảng cáo
Companies,Các công ty
Competition,Sự cạnh tranh
Competitors,Đối thủ cạnh tranh
Consumer,Người tiêu dùng
Consumer behavior,Hành vi của người tiêu dùng
Consumerism,Chủ nghĩa tiêu dùng
Consumption habits,Thói quen tiêu dùng
Critical thinking skills,Kỹ năng tư duy phản biện
Customer,Khách hàng
Deceptive,Lừa dối
Digital marketing,Marketing số
Direct mail,Quảng cáo trực tiếp qua thư
Dissatisfaction,Sự không hài lòng
Distribution,Phân phối
Early age,Thời kỳ sơ khai
Ethical implications,Hàm ý đạo đức
Evaluate,Đánh giá
Exaggerate,Phóng đại
Excessive,Quá mức
Exploitation,Khai thác
False expectations,Kỳ vọng sai lầm
Familiarity,Sự quen thuộc
Goods,Hàng hóa
Impact,Tác động
Informed choices,Lựa chọn được thông tin
Interests,Lợi ích
Junk mail,Thư rác
Logo,Lô gô
Loyalty,Sự trung thành
Mailing list,Danh sách gửi thư
Manipulate,Thao túng
Market research,Nghiên cứu thị trường
Market segmentation,Phân đoạn thị trường
Marketing,Tiếp thị
Marketing tactics,Chiến thuật tiếp thị
Mass media,Truyền thông đại chúng
Materialism,Chủ nghĩa vật chất
Media,Phương tiện truyền thông
Misleading information,Thông tin gây hiểu lầm
Niche product,Sản phẩm hướng đến một nhóm đối tượng nhỏ
Online advertising,Quảng cáo trực tuyến
Online platforms,Nền tảng trực tuyến
Perceptions,Sự nhận thức
Persuasion,Sự thuyết phục
Preferences,Sở thích
Press release,Thông cáo báo chí
Prime time,"Giờ vàng (thời gian cao điểm truyền hình/radio)"
Print advertising,Quảng cáo in ấn
Print media,Phương tiện truyền thông in ấn
Product placement,Đặt sản phẩm trong phim/chương trình để quảng cáo
Products,Sản phẩm
Promote,"Quảng bá, thúc đẩy"
Promotion,Sự quảng bá
Protecting,Bảo vệ
Public relations,Quan hệ công chúng
Purchasing decisions,Quyết định mua hàng
Radio,Đài phát thanh
Radio advertising,Quảng cáo trên đài phát thanh
Regulators,Cơ quan quản lý
Sales,Doanh số
Sales page,Trang bán hàng (giới thiệu sản phẩm)
Services,Dịch vụ
Social media,Mạng xã hội
Social media marketing,Tiếp thị truyền thông xã hội
Spam email,Email rác
Sponsorship,Tài trợ
Strike a balance,Đạt được sự cân bằng
Strong brands,Những thương hiệu tiếng tăm
Target audience,Đối tượng mục tiêu
Television,Truyền hình
Television advertising,Quảng cáo trên truyền hình
To go viral,Lan truyền nhanh chóng trên mạng
To launch a product,Ra mắt sản phẩm
Values,Giá trị
Viral marketing,Tiếp thị viral
Vulnerable populations,Nhóm đối tượng dễ bị tổn thương
Word of mouth,Truyền miệng
