Agile,"Nhanh nhẹn, lanh lợi"
Alluring,Quyến rũ
Almond-shaped,(Mắt) hình hạnh nhân
Asiatic (eyes),Mắt châu Á
Athletic,"Cơ bắp, thể thao"
Attractive,Hấp dẫn
Beauty,Vẻ đẹp
Big (eyes),Mắt to
Blemish-free,"Không có vết nám, tàn nhang"
Silky,Mềm mượt như lụa
Boyish,"Gợi cảm, biểu cảm"
Casual,Bình thường
Cat-like (eyes),Hình mắt mèo
Charming,Quyến rũ
Chic,Sang trọng
Chiseled,"Gương mặt chạm khắc, đẹp"
Classy,Phong cách
Clear,"Trong suốt, không tì vết"
Close-set (eyes),Mắt gần nhau
Curly,"Quăn, xoăn"
Curvaceous,Quyến rũ với đường cong
Dashing,Cuốn hút
Deep (eyes),Mắt sâu
Dewy,"Da bóng, mềm ẩm"
Distinguished,Nổi bật
Doe-eyed,"Mắt to, tròn và thu hút"
Downturned (eyes),Mắt hướng xuống dưới
Edgy,Có phần sắc bén
Elastic,"Đàn hồi, co dãn"
Even-toned,"Đồng màu, đều màu"
Expressive,Diễn đạt
Exquisite,Tinh tế
Eye-catching,Thu hút mắt
Fashion-forward,Hướng tới thời trang
Fashionable,Thời trang
Firm,"Chắc chắn, săn chắc"
Fit,Phù hợp
Flawless,"Hoàn hảo, không khuyết điểm"
Flexible,Linh hoạt
Flowing,"Tóc xõa, lượn sóng"
Frizzy,"Rối, xù lọn"
Full-figured,"Cơ bản, đầy đặn"
Glamorous,Quyến rũ
Glossy,Bóng loáng
Glowing,"Rực rỡ, sáng sủa"
Gorgeous,Tuyệt đẹp
Graceful,Duyên dáng
Groomed,Được chăm sóc
Handsome,Đẹp trai
Healthy,"Khỏe mạnh, đẹp"
Hip,Phong cách hiện đại
Hooded (eyes),Mắt có mí mắt che phủ
Hourglass,Hình cát cố định
Impeccable,Hoàn hảo
Lean,"Gầy, thon gọn"
Lithe,"Mềm mại, uyển chuyển"
Luminous,"Tỏa sáng, sáng chói"
Lustrous,"Sáng bóng, óng ả"
Magnetic,Hấp dẫn
Monolid (eyes),Mắt không có mí mắt
Muscular,Cơ bắp
Narrow (eyes),Mắt hẹp
Natural,Tự nhiên
Neat,Gọn gàng
Oval,Bầu dục
Pear-shaped,Thân hình quả lê
Petite,"Nhỏ nhắn, mảnh mai"
Plump,"Mềm mịn, căng mọng"
Polished,Lịch thiệp
Poreless,Không lỗ chân lông
Powerful,"Mạnh mẽ, có sức mạnh"
Pretty,Xinh đẹp
Radiant,Tỏa sáng
Round,Tròn
Sculpted,"Được tạo hình, săn chắc"
Shimmering,"Lấp lánh, lung linh"
Shiny,Bóng mượt
Short,Thấp
Slanted (eyes),Mắt nghiêng
Sleek,"Bóng mượt, mượt mà"
Slender,Thon gọn
Slim,Mảnh khảnh
Slim-fit,"Vừa vặn, ôm sát"
Small (eyes),Mắt nhỏ
Smooth,Mịn màng
Soft,Mềm mịn
Sophisticated,Tinh tế
Sparkling,Lấp lánh
Statuesque,"Cao lớn, tráng lệ"
Straight,"Thẳng, không xoăn"
Striking,Gây ấn tượng
Strong,Mạnh mẽ
Stunning,Lộng lẫy
Sturdy,"Vững chắc, bền bỉ"
Stylish,Phong cách
Suave,Lịch lãm
Supple,"Mềm dẻo, mịn màng"
Svelte,Mảnh mai
Tall,Cao
Tangled,"Rối, lộn xộn"
Thick,"Dày, đậm"
Toned,Săn chắc
Tousled,"Rối tung, bồng bềnh"
Translucent,"Mờ, trong suốt"
Trendsetter,Người tạo xu hướng
Trendy,Phổ biến
Trim,"Gọn gàng, đẹp"
Unique,Độc đáo
Upturned (eyes),Mắt hướng lên trên
Vibrant,Sống động
Voluminous,Tóc phồng và mềm mại
Voluptuous,"Gợi cảm, quyến rũ"
Wavy,Sóng nước
Well-built,"Vạm vỡ, đẹp"
Well-groomed,Được chăm sóc cẩn thận
Well-proportioned,Cân đối
Wide (eyes),Mắt rộng
Wide-set (eyes),Mắt cách xa nhau
Youthful,"Trẻ trung, tươi trẻ"
