Agrarian,Nông dân
Agriculture,Nông nghiệp
Barn,Chuồng gia súc
Beekeeping,Nuôi ong
Bees,Ong
Birds,Chim
Butterflies,Bướm
Chickens,Gà
Clear skies,Bầu trời trong xanh
Corn,Ngô
Cottage,Nhà tranh
Country life,Cuộc sống ở nông thôn
Country road,Đường quê
Countryside,Miền quê
Cows,Bò
Crop rotation,Luân canh
Crops,Cây trồng
Cultivating,Canh tác
Dairy,Sản phẩm từ sữa
Dairy products,Sản phẩm từ sữa
Farm,Nông trại
Farm equipment,Thiết thiết bị nông nghiệp
Farm management,Quản lý nông trại
Farm market,Chợ nông sản
Farmer,Nông dân
Farmers market,Chợ nông sản
Farmhand,Người lao động nông trại
Farmhouse,Nhà nông trại
Farming,Nghề nông
Farming community,Cộng đồng nông nghiệp
Fencing,Hàng rào
Fertile,Màu mỡ
Fertilizer,Phân bón
Fields,Cánh đồng
Fishing,Câu cá
Forest,Rừng
Fresh air,Không khí trong lành
Fresh milk,Sữa tươi
Fresh produce,Sản phẩm tươi sống
Fruit,Trái cây
Gardening,Làm vườn
Goats,Dê
Greenery,Cây xanh
Greenhouse,Nhà kính
Harvest,Mùa thu hoạch
Harvest festival,Lễ hội mùa thu hoạch
Harvesting,Thu hoạch
Hay,Cỏ khô
Haystack,Đống cỏ khô
Herbs,Cây thuốc
Hiking,Leo núi
Homestead,Đất đai nông trại
Horses,Ngựa
Irrigation,Tưới tiêu
Landscape,Phong cảnh
Livestock,Gia súc
Livestock feed,Thức ăn chăn nuôi
Meadows,Cánh đồng cỏ
Milking,Vắt sữa
Mountains,Núi
Nature,Thiên nhiên
Orchard,Vườn cây ăn quả
Organic,Hữu cơ
Organic farming,Nông nghiệp hữu cơ
Paddy fields,Cánh đồng lúa
Pasture,Đồng cỏ
Peace and quiet,"Yên bình, tĩnh lặng"
Peaceful,Yên tĩnh
Picnic,Dã ngoại
Pigs,Lợn
Plowing,Cày ruộng
Poultry,Gia cầm
River,Sông
Rural,Nông thôn
Rural community,Cộng đồng nông thôn
Rustic,Mộc mạc
Rustic charm,Sự quyến rũ mộc mạc
Scarecrow,Bù nhìn
Scenic,Thú vị về cảnh quan
Scenic beauty,Vẻ đẹp cảnh quan
Seeds,Hạt giống
Serene,Yên bình
Serene lakes,Hồ yên bình
Sheep,Cừu
Silo,Hầm chứa
Soybeans,Đậu nành
Stables,Chuồng ngựa
Stone walls,Bức tường đá
Sunflowers,Hoa hướng dương
Sunrise,Bình minh
Sunset,Hoàng hôn
Sustainable agriculture,Nông nghiệp bền vững
Tractor,Máy kéo
Tranquil,Thanh bình
Valley,Thung lũng
Vegetables,Rau quả
Village,Làng
Vineyard,Vườn nho
Waterfall,Thác nước
Watermill,Cối xay nước
Wheat,Lúa mì
Wildlife,Động vật hoang dã
Wildlife sanctuary,Khu bảo tồn động vật hoang dã
Windmill,Cối xay gió
