Abduction,Bắt cóc
Accomplice,Đồng phạm
Alibi,Chứng cứ ngoại phạm
Anarchy,"Hỗn loạn, vô chính phủ"
Arrest,Bắt giữ
Arson,Phóng hỏa
Assault,"Tấn công, đánh đập"
Blackmail,Tống tiền
Bribery,Hối lộ
Burglary,Ăn trộm
Carjacking,Cướp xe
Conspiracy,"Âm mưu, mưu đồ"
Conviction,Kết án
Corruption,Tham nhũng
Counterfeit,Giả mạo
Court,Tòa án
Crime,Tội ác
Crime scene,Hiện trường
Criminal,Tội phạm
Custody,Sự giam giữ
Cyberbullying,Quấy rối trực tuyến
Cybercrime,Tội phạm mạng
Cybersecurity,An ninh mạng
Detective,Thám tử
Detention,"Sự giam giữ, giam cầm"
Domestic violence,Bạo lực gia đình
Drug trafficking,Buôn bán ma túy
Embezzlement,Biển thủ
Evidence,Bằng chứng
Extortion,"Cưỡng đoạt, tống tiền"
Felony,Tội nghiêm trọng
Forensics,Pháp y
Forgery,Giả mạo
Fraud,Lừa đảo
Fraudulent,Lừa đảo
Gang,Băng đảng
Guilty,Có tội
Hacking,"Đột nhập, hack"
Harassment,Quấy rối
Hate crime,Tội phạm chủng tộc
Hijacking,Cướp máy bay
Homicide,Tội giết người
Identity theft,Ăn cắp danh tính
Impersonation,Giả mạo
Incarceration,Giam cầm
Indictment,Cáo trạng
Infiltration,Xâm nhập
Injunction,Lệnh cấm
Innocent,Vô tội
Interrogation,Thẩm vấn
Investigation,Điều tra
Jail,Tù
Judge,Thẩm phán
Jury,Ban hội thẩm
Juvenile,Vị thành niên
Juvenile delinquency,Tội phạm vị thành niên
Kidnapping,Bắt cóc trẻ em
Larceny,Trộm cắp
Law enforcement,Ứng dụng pháp luật
Manslaughter,Giết người không cố ý
Money laundering,Rửa tiền
Mugging,Cướp giật
Murder,Giết người
Narcotics,Ma túy
Obstruction,Cản trở
Organized crime,Tội phạm tổ chức
Parole,Phóng thích tù nhân sớm
Perjury,Lời khai sai
Phishing,Lừa đảo trên mạng
Piracy,Cướp biển
Police,Cảnh sát
Ponzi scheme,Mô hình lừa đảo Ponzi
Prison,Nhà tù
Probation,Thời gian quản chế
Prostitution,Mại dâm
Racketeering,Kinh doanh phi pháp
Ransom,Tiền chuộc
Reckless driving,Lái xe thiếu thận trọng
Riot,Bạo loạn
Robbery,Cướp
Sabotage,Phá hoại
Sentence,Hình phạt
Shoplifting,Trộm cắp trong cửa hàng
Slander,"Nói xấu, phỉ báng"
Smuggling,Buôn lậu
Stalking,"Theo dõi, rình rập"
Subpoena,Lệnh triệu tập
Surveillance,Giám sát
Suspect,Nghi phạm
Suspicion,Sự nghi ngờ
Tampering,"Can thiệp, làm sai lệch"
Tax evasion,Trốn thuế
Terrorism,Khủng bố
Testimony,Lời khai
Theft,Trộm cắp
Treason,"Phản quốc, phản bội"
Trespassing,Xâm phạm
Trial,Phiên tòa
Unlawful,Bất hợp pháp
Vandalism,Phá hoại tài sản công cộng
Vigilante,Tự vệ
Warrant,Lệnh bắt
White collar crime,Tội phạm văn phòng
Wiretapping,Nghe lén
Witness,Nhân chứng
Witness protection,Bảo vệ nhân chứng
