Appreciation,Sự đánh giá cao
Architecture,Kiến trúc
Art,Nghệ thuật
Beliefs,Niềm tin
Celebrate,Tổ chức kỷ niệm
Ceremonies,Nghi thức
Challenges,Thách thức
Clothing,Quần áo
Coexist,Sống chung
Collectivist society,Xã hội tập thể
Community,Cộng đồng
Consequences,Hậu quả
Contributes,Đóng góp
Cuisine,Ẩm thực
Cultural adaptation,Sự thích nghi văn hóa
Cultural anthropology,Nhân học văn hóa
Cultural appreciation,Đánh giá văn hóa
Cultural artifacts,Văn hóa phẩm
Cultural assimilation,Hòa nhập văn hóa
Cultural awareness,Nhận thức văn hóa
Cultural diffusion,Lan truyền văn hóa
Cultural diversity,Đa dạng văn hóa
Cultural education,Giáo dục văn hóa
Cultural enrichment,Tiếp thu văn hóa
Cultural exchange,Giao lưu văn hóa
Cultural expression,Biểu đạt văn hóa
Cultural heritage,Di sản văn hóa
Cultural identity,Bản sắc văn hóa
Cultural influence,Ảnh hưởng văn hóa
Cultural Integration,Hội nhập văn hóa
Cultural interaction,Tương tác văn hóa
Cultural norms,Quy tắc văn hóa
Cultural practices,Thực hành văn hóa
Cultural preservation,Bảo tồn văn hóa
Culture shock,Sự sốc văn hóa
Cultural significance,Ý nghĩa văn hóa
Cultural symbolism,Tượng trưng văn hóa
Cultural traditions,Truyền thống văn hóa
Cultural transformation,Sự biến đổi văn hóa
Cultural understanding,Hiểu biết văn hóa
Cultural uniqueness,Sự độc đáo văn hóa
Cultural values,Giá trị văn hóa
Culturally acceptable,Được chấp nhận văn hóa
Customs,Phong tục
Dance,Múa
Diffusion,Sự lan truyền
Discrimination,Phân biệt đối xử
Diversity,Đa dạng
Enriching,Làm giàu
Ethics,Đạo đức
Ethnicity,Dân tộc
Ethnocentrism,Chủ nghĩa dân tộc trung tâm
Ethnography,Dân tộc học
Etiquette,Phép lịch sự
Exchange,Trao đổi
Fair representation,Đại diện công bằng
Festivals,Lễ hội
Folk art,Nghệ thuật dân gian
Folklore,Truyền thuyết dân gian
Fostered,Nuôi dưỡng
Heritage,Di sản
History,Lịch sử
Homogenization,Đồng nhất hóa
Identity,Bản sắc
Indigenous,Bản địa
Influencing,Ảnh hưởng
Inheritance,Thừa kế
Intellectual property rights,Quyền sở hữu trí tuệ
Interconnected,Kết nối với nhau
Intercultural dialogue,Giao tiếp đa văn hóa
Languages,Ngôn ngữ
Literature,Văn học
Marginalized,Bị tách biệt
Media,Phương tiện truyền thông
Multicultural,Đa văn hóa
Music,Âm nhạc
Mutual understanding,Sự hiểu biết lẫn nhau
Negative,Tiêu cực
Positive,Tích cực
Preservation,Bảo tồn
Race,Chủng tộc
Religion,Tôn giáo
Religious beliefs,Niềm tin tôn giáo
Respect,Sự tôn trọng
Rituals,Nghi lễ
Shaping,Hình thành
Social memes,Biểu tượng xã hội
Social norms,Quy ước xã hội
Societies,Xã hội
Tolerance,Sự khoan dung
Tradition,Truyền thống
Uniqueness,Độc đáo
Valuable asset,Tài sản quý giá
Values,Giá trị
