A marine ecosystem,Hệ sinh thái dưới nước
Acid deposition,Mưa axit
Activated carbon,Than hoạt tính
Air pollution,Ô nhiễm không khí
Air quality,Chất lượng không khí
Alternatives,Giải pháp thay thế
Biodegradable,Có thể phân hủy
Biodiversity,Đa dạng sinh học
Biofuels,Nhiên liệu sinh học
Biomass,Năng lượng sinh khối
Carbon emissions,Khí thải carbon
Carbon footprint,Dấu chân carbon
Clean energy,Năng lượng sạch
Climate change,Biến đổi khí hậu
Compostable,Có thể phân hủy thành phân hữu cơ
Composting,Quá trình phân hủy sinh học
Conservation,Sự bảo tồn
Conservation program,Chương trình bảo tồn
Conservationist,Nhà bảo tồn
Contamination,Sự nhiễm độc
Damage,Phá hủy
Deforestation,Sự phá rừng
Degrade ecosystems,Làm suy thoái hệ sinh thái
Deplete natural resources,Làm cạn kiệt tài nguyên thiên nhiên
Desertification,Sự sa mạc hóa
Disposable,Có thể tái sử dụng
Easily recyclable,Có thể dễ dàng tái chế
Ecological balance,Sự cân bằng sinh thái
Ecological footprint,Dấu chân sinh thái
Ecosystem,Hệ sinh thái
Ecotourism,Du lịch sinh thái
Efficacious,Hiệu quả
Efficiency,"Hiệu suất, hiệu quả"
Electricity,Điện
Emissions,Khí thải
Endangered,Bị đe dọa
Endangered species,Các loài đang bị đe dọa
Energy,Năng lượng
Energy conservation,Bảo tồn năng lượng
Energy consumption,Tiêu thụ năng lượng
Energy efficiency,Hiệu quả năng lượng
Energy management,Quản lý năng lượng
Energy policy,Chính sách năng lượng
Energy production,Sản xuất năng lượng
Energy sources,Nguồn năng lượng
Energy storage,Lưu trữ năng lượng
Environmental awareness,Nhận thức môi trường
Environmental education,Giáo dục môi trường
Environmental impact,Tác động môi trường
Environmental policy,Chính sách môi trường
Environmental regulations,Quy định môi trường
Environmentalist,Nhà môi trường học
Environmentally friendly,Thân thiện với môi trường
Exploit,Khai thác
Fossil fuels,Nhiên liệu hóa thạch
Fuel cells,Pin nhiên liệu
Generator,Máy phát điện
Geothermal,Nhiệt đới
Global warming,Sự nóng lên toàn cầu
Green buildings,Các công trình xanh
Green technology,Công nghệ xanh
Greenhouse,Hiệu ứng nhà kính
Greenhouse gases,Khí nhà kính
Grid,Lưới điện
Habitat destruction,Phá hủy môi trường sống tự nhiên
Hydroelectric,Năng lượng thủy điện
Land degradation,Sự suy thoát đất đai
Log forests,Chặt phá rừng
Marine conservation,Bảo tồn biển
Natural resources,Tài nguyên thiên nhiên
Noise pollution,Ô nhiễm tiếng ồn
Nuclear,Hạt nhân
Offset CO2 emissions,Làm giảm lượng khí thải carbon/CO2
Organic farming,Nông nghiệp hữu cơ
Over-abuse,Lạm dụng quá mức
Ozone depletion,Sự suy giảm tầng ôzôn
Photovoltaic,Quang điện
Poisonous,Độc hại
Pollution,Ô nhiễm
Power,"Sức mạnh, quyền lực"
Power plant,Nhà máy điện
Preserve biodiversity,Bảo tồn sự đa dạng sinh học
Raise awareness,Nâng cao nhận thức
Recycle,Tái chế
Renewable,Tái tạo được
Renewable energy,Năng lượng tái tạo
Renewable resources,Tài nguyên tái tạo
Soil erosion,Xói mòn đất
Solar,Năng lượng mặt trời
Solar panel,Tấm năng lượng mặt trời
Sustainability,Sự phát triển bền vững
Sustainable,Bền vững
Sustainable agriculture,Nông nghiệp bền vững
Sustainable development,Phát triển bền vững
Sustainable lifestyle,Lối sống bền vững
Sustainable transportation,Giao thông bền vững
Tackle,Giải quyết
The ozone layer,Tầng ozon
Threaten natural habitats,Đe dọa môi trường sống tự nhiên
Tidal,Triều cường
Turbine,Tuabin
Waste management,Quản lý chất thải
Waste reduction,Giảm chất thải
Water pollution,Ô nhiễm nước
Water scarcity,Sự khan hiếm nước
Wave,Sóng
Wildlife preservation,Bảo tồn động vật hoang dã
Wind,Năng lượng gió
