Abuse,Lạm dụng
Addiction,Nghiện
Adoption,Sự nhận nuôi
Affection,Tình cảm
Anger,Sự tức giận
Aunt,Cô/bác
Blended family,Gia định lai
Blended family challenges,Thách thức của gia đình lai
Bond,Mối liên kết
Boundary setter,Người đặt ra giới hạn
Breadwinner,Người kiếm tiền nuôi gia đình
Brother-in-law,Anh rể/em chồng
Caregiver,Người chăm sóc
Caring,Sự quan tâm
Children,Con cái
Co-dependency,Sự phụ thuộc lẫn nhau
Communication,Giao tiếp
Conflict,Xung đột
Connection,Mối liên kết
Control,Sự kiểm soát
Cousins,Anh chị em họ
Cultural clashes,Xung đột văn hóa
Cultural differences,Sự khác biệt văn hóa
Daughter,Con gái
Disciplinarian,Người định kỷ luật
Disrespect,Sự không tôn trọng
Divorce,Ly hôn
Dysfunction,Sự bất bình thường
Emotional distance,Khoảng cách về cảm xúc
Emotional manipulation,Sự thao túng cảm xúc
Emotional support,Hỗ trợ về mặt cảm xúc
Empathy,Sự thông cảm
Encourager,"Người động viên, khích lệ"
Estrangement,Sự cách li
Extended family,Gia đình mở rộng
Family,Gia đình
Family values,Giá trị gia đình
Fatherhood,Sự làm cha
Favoritism,Sự thiên vị
Financial dependency,Sự phụ thuộc tài chính
Financial issues,Vấn đề tài chính
Financial support,Hỗ trợ tài chính
Generation gap,Khoảng cách thế hệ
Generations,Thế hệ
Grandchildren,Cháu chắt
Grandparents,Ông bà
Guardian,Người giám hộ
Guidance,Sự hướng dẫn
Harmony,Sự hòa thuận
High expectations,Kỳ vọng cao
Home,Ngôi nhà
Homemaker,Người nội trợ
In-law,Họ hàng vợ/chồng
Incompatibility,Sự không tương thích
Inequality,Sự bất bình đẳng
Infidelity,Sự không trung thành
Inherited family conflicts,Xung đột gia đình thừa kế
Intimacy,Sự thân mật
Jealousy,Sự ghen tị
Kinship,Mối quan hệ họ hàng
Lack of appreciation,Thiếu sự đánh giá cao
Lack of boundaries,Thiếu ranh giới
Lack of communication,Thiếu giao tiếp
Lack of empathy,Thiếu sự thông cảm
Lack of forgiveness,Thiếu sự tha thứ
Lack of intimacy,Thiếu gần gũi
Lack of problem-solving skills,Thiếu kỹ năng giải quyết vấn đề
Lack of quality time,Thiếu thời gian chất lượng
Lack of support,Thiếu sự hỗ trợ
Loss of a loved one,Mất đi người thân yêu
Love,Tình yêu
Loyalty,Sự trung thành
Marriage,Hôn nhân
Mental health issues,Vấn đề sức khỏe tâm thần
Mentor,"Người cố vấn, hướng dẫn"
Miscommunication,Sự hiểu lầm trong giao tiếp
Motherhood,Sự làm mẹ
Neglect,Sự bỏ bê
Nephew,Cháu trai
Niece,Cháu gái
Nurturing,Sự nuôi dưỡng
Orphan,Trẻ mồ côi
Parent-child conflict,Xung đột giữa cha mẹ và con cái
Parenting disagreements,Bất đồng quan điểm về nuôi dạy con
Parents,Bố mẹ
Power struggles,Cuộc tranh đấu quyền lực
Problem solver,Người giải quyết vấn đề
Protector,Người bảo vệ
Provider,Người cung cấp
Resentment,Sự hận thù
Respect,Sự tôn trọng
Reunion,Sự đoàn tụ
Role confusion,Sự nhầm lẫn về vai trò
Role model,"Hình mẫu, tấm gương"
Sacrifice,Sự hy sinh
Sibling rivalry,Sự ganh đua giữa anh chị em
Siblings,Anh chị em ruột
Sister-in-law,Chị dâu/em vợ
Son,Con trai
Spouse,Vợ/chồng
Stress,Sự căng thẳng
Substance abuse,Lạm dụng chất gây nghiện
Support,Hỗ trợ
Supporter,Người hỗ trợ
Togetherness,Sự đoàn kết
Trust,Niềm tin
Trust issues,Vấn đề tin tưởng
Twin,Sinh đôi
Uncle,Chú/bác
Unconditional love,Tình yêu vô điều kiện
Understanding,Sự hiểu biết
Unity,Sự đoàn kết
Upbringing,Sự nuôi dưỡng
Verbal arguments,Cuộc tranh luận bằng lời nói
