Accordion,Đàn xếp
Acoustic,Nhạc cụ
Agent,Đại diện
Album,Album
Arrangement,Sắp xếp
Arranger,Người sắp xếp nhạc
Artist,Nghệ sĩ
Award,Giải thưởng
Backup vocalist,Ca sĩ hỗ trợ
Bagpipes,Kèn Bagpipes
Band,Ban nhạc
Band manager,Quản lý ban nhạc
Banjo,Đàn Banjo
Bass guitar,Đàn Guitar bass
Bassist,Người chơi Bass
Beat,Nhịp
Billboard,Bảng xếp hạng
Blues,Nhạc Blues
Bridge,Đoạn gần cuối bài hát
Celebrity,Người nổi tiếng
Cellist,Người chơi đàn Violoncello
Cello,Đàn Xiếc-lô
Chart-topping,Đứng đầu bảng xếp hạng
Choir,Hợp xướng
Chord,Hợp âm
Chorus,Đoạn hát chính
Clarinet,Kèn Clarinet
Classical,Nhạc cổ điển
Collaboration,Sự hợp tác
Composer,Nhà soạn nhạc
Composition,Sáng tác
Concert,Buổi hòa nhạc
Conductor,Nhạc trưởng
Contract,Hợp đồng
Creative process,Quá trình sáng tạo
Demo,Bản thử
DJ,Người chơi và mix nhạc
Double bass,Đàn Double bass
Drummer,Người chơi trống
Drums,Trống
Editing,Biên tập
Electric keyboard,Đàn Keyboard điện
Electronic music,Nhạc điện tử
Entertainment industry,Ngành công nghiệp giải trí
Festival,Lễ hội âm nhạc
Flute,Sáo
Flutist,Người chơi sáo
Folk,Nhạc dân gian
French horn,Kèn French horn
Genre,Thể loại
Gong,Trống lớn
Guitar,Đàn Guitar
Guitarist,Người chơi Guitar
Harmonica,Kèn Harmonica
Harmonize,Hòa âm
Harmony,Hòa âm
Harp,Đàn hạc
Harpist,Người chơi đàn hạc
Hip-hop,Nhạc Hiphop
Hit song,Bài hát thành công
Hook,Đoạn nhạc gây nghiện
Improvisation,Nhạc tự do
Inspiration,Cảm hứng
Instrument,Nhạc cụ
Instrumental,Nhạc không lời
Jazz,Nhạc Jazz
Key,Tông
Key signature,Hóa biểu
Keyboard player,Người chơi đàn Keyboard
Lead guitarist,Người chơi Guitar chính
Lead vocalist,Ca sĩ chính
Lyrics,Lời bài hát
Manager,Quản lý nghệ sĩ
Mandolin,Đàn Mandolin
Maracas,Đôi lục lạc
Mastering,Hoàn thiện
Melody,Giai điệu
Meter,Nhịp
Mixing,Phối âm
Music video,Video âm nhạc
Musical director,Giám đốc âm nhạc
Musical form,Hình thức âm nhạc
Musician,Nhạc sĩ
Note,Nốt nhạc
Oboe,Kèn Oboe
Opera,Opera
Orchestra,Dàn nhạc giao hưởng
Paparazzi,Nhà báo săn ảnh
Percussionist,Người chơi nhạc cụ gõ
Performance,Buổi biểu diễn
Pianist,Người chơi đàn Piano
Piano,Đàn Piano
Pitch,Độ cao
Pop,Nhạc Pop
Producer,Nhà sản xuất âm nhạc
Production,Sản xuất
Public relations,Quan hệ công chúng
Publicity,Sự quảng bá
Record label,Hãng thu âm
Recording,Ghi âm
Refinement,Sự hoàn thiện
Rehearsal,Diễn tập
Remix,Nhạc Remix
Rhythm,Nhịp điệu
Roadie/technician,Kỹ thuật viên âm nhạc
Rock,Nhạc Rock
Royalties,Tiền bản quyền
Saxophone,Kèn Saxophone
Saxophonist,Người chơi kèn Saxophone
Scale,Âm giai
Showbiz,Giới giải trí
Single,Đĩa đơn
Sitar,Đàn Sitar
Solo,Đơn ca
Song structure,Cấu trúc bài hát
Songwriter,Nhạc sĩ
Sound,Âm thanh
Sound engineer,Kỹ sư âm thanh
Soundtrack,Nhạc phim
Stage manager,Quản lý sân khấu
Studio,Phòng thu
Symphony,Giao hưởng
Syncopation,Đảo phách
Synthesizer,Máy Synthesizer
Tambourine,Trống lê
Tempo,Nhịp độ
Tour,Tour diễn
Tour manager,Quản lý tour diễn
Trombone,Kèn Trombone
Trombonist,Người chơi kèn Trombone
Trumpet,Kèn Trumpet
Trumpeter,Người chơi kèn Trumpet
Ukulele,Đàn Ukulele
Verse,Phần lời chính
Violin,Đàn Vi-ô-lông
Violinist,Người chơi đàn Violin
Vocals,Giọng hát
Xylophone,Mộc cầm
