Air mass,Khối không khí
Air pressure,Áp suất không khí
Anemometer,Công cụ đo tốc độ gió
Arctic blast,Sự tấn công lạnh từ Bắc Cực
Arid,"Khô cằn, cằn cỗi"
Atmospheric models,Mô hình khí quyển
Barometer,Cái đo áp suất không khí
Bitter cold,Lạnh thấu xương
Blistering,"Nóng như thiêu đốt, nóng cháy"
Blizzard,Bão tuyết
Boiling,"Rất nóng, sôi sục"
Bone-chilling,Lạnh đến tận xương
Chilly,"Lạnh nhẹ, se lạnh"
Cirrus clouds,Mây Cirrus
Clear,Trời quang đãng
Climate,Khí hậu
Climate change,Biến đổi khí hậu
Climate modeling,Mô phỏng khí hậu
Climate system,Hệ thống khí hậu
Cloudy,Có mây
Cold front,Mặt trước không khí lạnh
Cold snap,Đợt lạnh đột ngột
Cold wave,Đợt lạnh kéo dài
Cold wave warning,Cảnh báo đợt lạnh kéo dài
Cold-related illnesses,Bệnh liên quan đến lạnh
Condensation,Sự ngưng tụ
Convection,Sự truyền nhiệt đối lưu
Cumulus clouds,Mây tích
Cyclone,Áp thấp nhiệt đới
Cyclonic,Thuộc về vòng xoáy
Damp,Ẩm ướt
Doppler radar,Radar Doppler
Drizzle,Mưa phùn
Drought,Hạn hán
Drought-resistant,Chống hạn
Dry spell,Thời kỳ hạn hán
Evaporation,Sự bay hơi
Extreme cold,Lạnh cực độ
Extreme heat,Nhiệt độ cực đoan
Flood,Lũ lụt
Foggy,Có sương mù
Foghorn,Đèn sương mù
Forecast,Dự báo
Forecast models,Mô hình dự báo
Forecasting,Dự báo
Freezing,"Lạnh cóng, đóng băng"
Frigid,"Lạnh lẽo, lạnh buốt"
Frontal system,Hệ thống mặt trước
Frost,Sương giá
Frostbite,Đông lạnh
Frozen,Đông đá
Gale,Gió mạnh
Global warming,Nóng lên toàn cầu
Gust,Cơn gió mạnh
Hail,Mưa đá
Hazy,Mờ mịt
Heat advisory,Cảnh báo nhiệt độ cao
Heat dome,Vùng áp suất nhiệt cao
Heat exhaustion,Kiệt sức do nhiệt độ cao
Heat index,Chỉ số nhiệt độ cảm nhận
Heat intensity,Mức độ nhiệt độ
Heat lightning,Sét khí nóng
Heat spell,Kỳ nóng kéo dài
Heat-related illnesses,Bệnh liên quan đến nhiệt độ
Heatstroke,Say nắng
Heatwave,Đợt nắng nóng
High temperatures,Nhiệt độ cao
Humidity,Độ ẩm
Hurricane,Bão lớn
Hygrometer,Cái đo độ ẩm
Ice storm,Bão đá
Icy conditions,Điều kiện đóng băng
Intense heat,"Nhiệt độ gay gắt, cao"
Jet stream,Dòng chảy phía trên
Lightning,Chớp
Lightning strike,Sét đánh
Melt,Tan chảy
Meteorological instruments,Thiết bị khí tượng
Mist,Sương mù nhẹ
Monsoon,Mùa mưa
Muggy,Nóng ẩm
Numbing cold,Lạnh làm tê liệt
Numerical weather prediction,Dự báo thời tiết số học
Observational data,Dữ liệu quan sát
Oppressive heat,Nhiệt độ gây áp lực
Overcast,U ám
Polar,Thuộc về địa cực
Polar vortex,Gió xoáy cực Bắc
Precipitation,"Mưa, lượng mưa"
Puddle,Vũng nước
Rain gauge,Cái đo lượng mưa
Rain shower,Cơn mưa
Rainbow,Cầu vồng
Raincoat,Áo mưa
Rainy,Có mưa
Record-breaking heat,Nhiệt độ phá kỷ lục
Remote sensing,Cảm biến từ xa
Roasting,"Nóng như thiêu đốt, nóng bỏng"
Sandstorm,Bão cát
Scorching,"Rất nóng, thiêu đốt"
Season,Mùa
Severe weather,Thời tiết khắc nghiệt
Sizzle,Tiếng xèo xèo
Sizzling,"Nóng bức, nóng rực"
Sleet,Mưa phùn tuyết
Snowball,Quả cầu tuyết
Snowflake,Tuyết rơi
Snowstorm,Bão tuyết
Snowy,Có tuyết
Solar radiation,Bức xạ mặt trời
Storm surge,Nước biển dâng trong bão
Storm tracking,Theo dõi cơn bão
Stormy,Có bão
Stratus clouds,Mây Stratus
Subzero temperatures,Nhiệt độ dưới 0 độ C
Sunny,"Tươi sáng, nắng"
Sunrise,Bình minh
Sunset,Hoàng hôn
Sweltering,Nóng oi bức
Temperature,Nhiệt độ
Thermals,Cột nhiệt
Thermometer,Nhiệt kế
Thunder,Sấm
Thunderstorm,Cơn bão có sấm sét
Tidal wave,Sóng thủy triều
Tornado,Lốc xoáy
Tornado alley,Vùng lối đi của lốc xoáy
Tornado warning,Cảnh báo lốc xoáy
Tropics,Vùng nhiệt đới
Umbrella,Cái ô
Warm front,Mặt trước ấm
Weather balloon,Bóng thăm dò thời tiết
Weather charts,Biểu đồ thời tiết
Weather maps,Bản đồ thời tiết
Weather patterns,Các mô hình thời tiết
Weather radar,Radar thời tiết
Weather satellite,Vệ tinh thời tiết
Weather sensors,Cảm biến thời tiết
Weather station,Trạm thời tiết
Weatherman,Nhân viên dự báo thời tiết
Wind chill,Cảm giác lạnh do gió
Windsock,Ống gió
Windy,Có gió
